,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__searchInfo__textSnippet,items__volumeInfo__industryIdentifiers__identifier,title
68,Unbound,Transgender Men and the Remaking of Identity,Arlene Stein,"An intimate portrait of a new generation of transmasculine individuals as they undergo gender transitions Award-winning sociologist Arlene Stein takes us into the lives of four strangers who find themselves together in a sun-drenched surgeon's office, having traveled to Florida from across the United States in order to masculinize their chests. Ben, Lucas, Parker, and Nadia wish to feel more comfortable in their bodies; three of them are also taking testosterone so that others recognize them as male. Following them over the course of a year, Stein shows how members of this young transgender generation, along with other gender dissidents, are refashioning their identities and challenging others' conceptions of who they are. During a time of conservative resurgence, they do so despite great personal costs. Transgender men comprise a large, growing proportion of the trans population, yet they remain largely invisible. In this powerful, timely, and eye-opening account, Stein draws from dozens of interviews with transgender people and their friends and families, as well as with activists and medical and psychological experts. Unbound documents the varied ways younger trans men see themselves and how they are changing our understanding of what it means to be male and female in America.",Unbound documents the varied ways younger trans men see themselves and how they are changing our understanding of what it means to be male and female in America.,9781101972496,Unbound Transgender Men and the Remaking of Identity
70,Transgender Voices,Beyond Women and Men,Lori B. Girshick,"In this extraordinary book, based on 150 in-depth interviews, Lori B. Girshick, a sociologist and social justice activist, brings together the voices of sex- and gender-diverse people who speak with absolute candor about their lives. Girshick presents transpeople speaking in their own voices about identity, coming out, passing, sexual orientation, relationship negotiations and the dynamics of attraction, homophobia (including internalized fears), and bullying. She exposes the guilt and the shame that ""gender police"" use in their attempts to exert control and points out the many ways transpeople are discriminated against in daily life, from filling out identification documents to gender-segregated bathrooms. By showing us a variety of descriptions of diverse real lives and providing a thorough exploration of the embodied experiences of gender variant people, Girshick demonstrates that there is nothing inherently binary about gender, and that the way each of us experiences our own gender is, in fact, normal and natural.","In this extraordinary book, based on 150 in-depth interviews, Lori B. Girshick, a sociologist and social justice activist, brings together the voices of sex- and gender-diverse people who speak with absolute candor about their lives.",158465645X,Transgender Voices Beyond Women and Men
72,The Transgender Phenomenon,,Richard Ekins,"CHOICE MAGAZINE Outstanding Academic Title for 2007 `The field of ""transgender"" and ""transpositionality"" has been carved out as a new field of inquiry in the past decade, showing the fragmentation and diversification of masculinities and feminities - along with the error of any sharp polarisation. Dave King and Richard Ekins are the leading world sociologists in this field and have mined it richly since the 1970's. The book brings together a brilliant synthesis of history, case studies, ideas and positions as they have emerged over the past thirty years, and brings together a rich but always grounded account of this field, providing a state of the art of critical concepts and ideas to take this field further during the twenty first century. This is a must read for all interested in this new area of inquiry ' - Ken Plummer, Professor of Sociology, University of Essex. Editor of Sexualities. Author of Intimate Citizenship `An outstanding survey of the evolution of trans phenomena, splendidly written, highly informative, scholarly at its best, yet easy to read even for those neither trans nor sociologist. Drs Ekins and King, experts in the field, unroll the panoramas of sex, gender, and transgendering that have evloved during the last decades. For everyone wanting to understand the interaction of women and men and of those who cannot or will not identify with either of these two cataegories, reading this book is a must, and a real pleasure' - Professor Friedmann Pfaefflin, University of ULM `In a work destined to be a classic, Ekins and King offer a comprehensive overview of the diversity of contemporary transgender expression, along with an impressive conceptual framework for making sense of that diversity. The abundant case vignettes bring the authors' concepts to life and make the book a pleasure to read' - Dr Anne Lawrence, Clinical Sexologist in Private Practice, Seattle `An outstanding survey of the evolution of trans phenomena, splendidly written, highly informative, scholarly at its best, yet easy to read even for those neither trans nor sociologist. Drs Ekins and King, experts in the field, unroll the panoramas of sex, gender, and transgendering that have evloved during the last decades. For everyone wanting to understand the interaction of women and men and of those who cannot or will not identify with either of these two cataegories, reading this book is a must, and a real pleasure' - This groundbreaking study sets out a framework for exploring transgender diversity for the new millennium. It sets forth an original and comprehensive research and provides a wealth of vivid illustrative material. Based on two decades of fieldwork, life history work, qualitative analysis, archival work and contact with several thousand cross-dressers and sex-changers around the world, the authors distinguish a number of contemporary transgendering `stories' to illustrate: "" the binary male/female divide; "" the interrelations betwen sex, sexuality and gender; "" the interrelations between the main sub-processes of transgendering. Wonderfully insightful, The Transgender Phenomenon develops an original and innovative conceptual framkework for understanding the full range of the transgender experience.","This is a must read for all interested in this new area of inquiry &#39; - Ken Plummer, Professor of Sociology, University of Essex. Editor of Sexualities.",0761971645,
74,Transgender Psychoanalysis,A Lacanian Perspective on Sexual Difference,Patricia Gherovici,"Drawing on the author’s clinical work with gender-variant patients, Transgender Psychoanalysis: A Lacanian Perspective on Sexual Difference argues for a depathologizing of the transgender experience, while offering an original analysis of sexual difference. We are living in a ""trans"" moment that has become the next civil rights frontier. By unfixing our notions of gender, sex, and sexual identity, challenging normativity and essentialisms, trans modalities of embodiment can help reorient psychoanalytic practice. This book addresses sexual identity and sexuality by articulating new ideas on the complex relationship of the body to the psyche, the precariousness of gender, the instability of the male/female opposition, identity construction, uncertainties about sexual choice—in short, the conundrum of sexual difference. Transgender Psychoanalysis features explications of Lacanian psychoanalysis along with considerations on sex and gender in the form of clinical vignettes from Patricia Gherovici's practice as a psychoanalyst. The book engages with popular culture and psychoanalytic literature (including Jacques Lacan’s treatments of two transgender patients), and implements close readings uncovering a new ethics of sexual difference. These explorations have important implications not just for clinicians in psychoanalysis and mental health practitioners but also for transgender theorists and activists, transgender people, and professionals in the trans field. Transgender Psychoanalysis promises to enrich ongoing discourses on gender, sexuality, and identity.","This book addresses sexual identity and sexuality by articulating new ideas on the complex relationship of the body to the psyche, the precariousness of gender, the instability of the male/female opposition, identity construction, ...",9781317594178,Transgender Psychoanalysis A Lacanian Perspective on Sexual Difference
76,Voice and Communication Therapy for the Transgender/Gender Diverse Client,"A Comprehensive Clinical Guide, Third Edition",Richard K. Adler,"Voice and Communication Therapy for the Transgender/Gender Diverse Client: A Comprehensive Clinical Guide, Third Edition remains a must-have resource for speech-language pathologists, voice clinicians and trainers who assist transgender/gender diverse clients in aligning their communication with their gender identity. Such goals for transfeminine, transmasculine and gender diverse people are far from insurmountable given appropriate training. This third edition builds on the work of the first two editions, and meets the clinical and training needs of an even larger and better-informed core of speech language pathologists and trainers. Enhancements to this edition include significantly expanded chapters on counseling, psychotherapy, theater, non-verbal communication, singing, vocal health, medical considerations, and the historical perspectives on evidence-based research as well as a call to action to meet the needs of trans youth. Chapters cover each aspect of a communication training program, including case studies, summaries, appendices and an extensive bibliography, as well as an outline of therapy protocols and ideas for transmasculine, transfeminine and gender diverse clients. New to this edition: A new co-editor, Jack Pickering, brings a fresh perspective from extensive experience in transgender voice and communication trainingA comprehensive chapter addressing research and the voice and communication needs of transmasculine individualsA chapter focusing on the needs of trans youth, future directions in this area, and the role of SLPs with this unique populationA practical chapter on psychotherapy and the relationship between the SLP and psychotherapist/social worker and how these professionals work in tandem to help in the entire transition processA chapter on counseling for the transgender/gender diverse client, with step by step practical information that can also be used for counseling with all populations seen by SLPsA practical chapter on theater giving the perspectives from two transgender actresses' personal experiences, a cisgender actress/voice clinician, and a cisgender voice/theater coach/teacherAn expanded medical chapter outlining foundational information on terminology, development, endocrinology and surgeries as well as the physician's role and best practice in the transition process for each clientUpdated and expanded chapters on the role of multidisciplinary considerations for the transmasculine, transfeminine and gender diverse client, and assessment of these clients, in all aspects of pitch and inflection, the art and science of resonance, non-verbal communication, and group therapy and discharge This seminal text guides clinicians and trainers who work with the transgender/gender diverse population, in designing and administering a mindful, focused, and appropriate treatment plan. Speech-language pathologists, voice coaches, ENT physicians, professors and anyone working in the areas of voice, singing, and the vocal performing arts, will find this text to be an essential resource. Disclaimer: Please note that ancillary content (such as documents, audio, and video, etc.) may not be included as published in the original print version of this book.","New to this edition: A new co-editor, Jack Pickering, brings a fresh perspective from extensive experience in transgender voice and communication trainingA comprehensive chapter addressing research and the voice and communication needs of ...",9781944883317,"Voice and Communication Therapy for the Transgender/Gender Diverse Client A Comprehensive Clinical Guide, Third Edition"
78,Third Wave Feminism and Transgender,Strength through Diversity,Edward BURLTON Davies,"Feminism and transgender, as social factions or collective subjectivities, have historically evaded, vilified or negated each other’s philosophy and subjectivities. In particular, separatist feminist theorists have portrayed the two ‘sides’ as consisting of mutually incompatible aims and subjectivities. These portrayals have worked to the detriment of both feminism and transgender. Third Wave Feminism and Transgender considers what positive outcomes on society in general, and the law as it pertains to gender in particular, may emerge from the identification of and cooperation between third wave feminism and transgender. Challenging the ‘internecine exclusion’ between and within each faction, Davies shows that queer-inspired philosophical third wave feminism promises to be an inclusive social discourse providing a substantial challenge to mutual exclusion. Indeed, this book explores the span of maternal relations, including womanism, ethics of care and semiotic language and subsequently reveals how gender variant people can highlight the gendered operation of conventional ethics. With a focus on Carol Gilligan and Julia Kristeva as key instigators of a philosophical third wave of feminism, this enlightening monograph will appeal to students and postdoctoral researchers interested in fields such as women’s studies, transgender studies and gender law.","Indeed, this book explores the span of maternal relations, including womanism, ethics of care and semiotic language and subsequently reveals how gender variant people can highlight the gendered operation of conventional ethics.",9781351608077,Third Wave Feminism and Transgender Strength through Diversity
80,Microaggressions and Marginality,"Manifestation, Dynamics, and Impact",Derald Wing Sue,"A landmark volume exploring covert bias, prejudice, and discrimination with hopeful solutions for their eventual dissolution Exploring the psychological dynamics of unconscious and unintentional expressions of bias and prejudice toward socially devalued groups, Microaggressions and Marginality: Manifestation, Dynamics, and Impact takes an unflinching look at the numerous manifestations of these subtle biases. It thoroughly deals with the harm engendered by everyday prejudice and discrimination, as well as the concept of microaggressions beyond that of race and expressions of racism. Edited by a nationally renowned expert in the field of multicultural counseling and ethnic and minority issues, this book features contributions by notable experts presenting original research and scholarly works on a broad spectrum of groups in our society who have traditionally been marginalized and disempowered. The definitive source on this topic, Microaggressions and Marginality features: In-depth chapters on microaggressions towards racial/ethnic, international/cultural, gender, LGBT, religious, social, and disabled groups Chapters on racial/ethnic microaggressions devoted to specific populations including African Americans, Latino/Hispanic Americans, Asian Americans, indigenous populations, and biracial/multiracial people A look at what society must do if it is to reduce prejudice and discrimination directed at these groups Discussion of the common dynamics of covert and unintentional biases Coping strategies enabling targets to survive such onslaughts Timely and thought-provoking, Microaggressions and Marginality is essential reading for any professional dealing with diversity at any level, offering guidance for facing and opposing microaggressions in today's society.","Edited by a nationally renowned expert in the field of multicultural counseling and ethnic and minority issues, this book features contributions by notable experts presenting original research and scholarly works on a broad spectrum of ...",9780470491393,"Microaggressions and Marginality Manifestation, Dynamics, and Impact"
82,Microaggressions in Everyday Life,,Derald Wing Sue,"The essential, authoritative guide to microaggressions, revised and updated The revised and updated second edition of Microaggressions in Everyday Life presents an introduction to the concept of microaggressions, classifies the various types of microaggressions, and offers solutions for ending microaggressions at the individual, group, and community levels. The authors—noted experts on the topic—explore the psychological effect of microaggressions on both perpetrator and the target person. Subtle racism, sexism, and heterosexism remain relatively invisible and potentially harmful to the wellbeing, self-esteem, and standard of living of many marginalized groups in society. The book examines the manifestations of racial, gender, and sexual orientation microaggressions and explores their impact. The text covers: researching microaggressions, exploring microaggressions in education, identifying best practices teaching about microaggressions, understanding microaggressions in the counseling setting, as well as guidelines for combating microaggressions. Each chapter contains with a section called ""The Way Forward"" that provides guidelines, strategies, and interventions designed to help make our society free of microaggressions. This important book: Offers an updated edition of the seminal work on microaggressions Includes new information on social media as a key site where microaggressions occur Presents updated qualitative findings Contains new coverage throughout the text with fresh examples and new research findings from a wide range of studies Written for students, faculty, and practitioners of psychology, education, social work, and related disciplines, the revised edition of Microaggressions in Everyday Life illustrates the impact microaggressions have on both those targeted and perpetrators and offers suggestions to eradicate microaggressions.",This important book: Offers an updated edition of the seminal work on microaggressions Presents a new concept of &quot;microinterventions&quot; as anti-bias strategies Makes distinctions between &quot;microaggressions&quot; and &quot;macroaggressions&quot; Includes new ...,9781119513797,
84,Microaggressions in Everyday Life,"Race, Gender, and Sexual Orientation",Derald Wing Sue,"Praise for Microaggressions in Everyday Life ""In a very constructive way, Dr. Sue provides time-tested psychological suggestions to make our society free of microaggressions. It is a brilliant resource and ideal teaching tool for all those who wish to alter the forces that promote pain for people."" —Melba J. T. Vasquez, PhD, ABPPPresident, American Psychological Association ""Microaggressions in Everyday Life offers an insightful, scholarly, and thought-provoking analysis of the existence of subtle, often unintentional biases, and their profound impact on members of traditionally disadvantaged groups. The concept of microaggressions is one of the most important developments in the study of intergroup relations over the past decade, and this volume is the definitive source on the topic."" —John F. Dovidio, PhD Professor of Psychology, Yale University ""Derald Wing Sue has written a must-read book for anyone who deals with diversity at any level. Microaggressions in Everyday Life will bring great rewards in understanding and awareness along with practical guides to put them to good use."" —James M. Jones, PhD Professor of Psychology and Director of Black American Studies, University of Delaware ""This is a major contribution to the multicultural discourse and to understanding the myriad ways that discrimination can be represented and its insidious effects. Accessible and well documented, it is a pleasure to read."" —Beverly Greene, PhD, ABPP Diplomate in Clinical Psychology and Professor of Psychology, St. John's University A transformative look at covert bias, prejudice, and discrimination with hopeful solutions for their eventual dissolution Written by bestselling author Derald Wing Sue, Microaggressions in Everyday Life: Race, Gender, and Sexual Orientation is a first-of-its-kind guide on the subject of microaggressions. This book insightfully looks at the various kinds of microaggressions and their psychological effects on both perpetrators and their targets. Thought provoking and timely, Dr. Sue suggests realistic and optimistic guidance for combating—and ending—microaggressions in our society.","Microaggressions in Everyday Life will bring great rewards in understanding and awareness along with practical guides to put them to good use.&quot; —James M. Jones, PhD Professor of Psychology and Director of Black American Studies, ...",0470594152,"Microaggressions in Everyday Life Race, Gender, and Sexual Orientation"
86,Teaching With Racial Microaggressions in Mind: How to Recognize and Stop Using Racial Microaggressions in Your K-12 Classroom,,Joseph R. Gibson,"This book was written to promote those typically unfamiliar or unpracticed strategies that if normalized can help us best educate all K-12 students, regardless of race. Accordingly, as opposed to ""not seeing color"" or somehow ignoring race, the goal is to explore ways to reduce the impact of racism on Black students specifically. ""Racism is endemic to American life,"" noted Mari Matsuda et al., including those minimally diverse K-12 schools and classrooms with almost all or very few Black students. Many educators are becoming increasingly aware of the role of race in the classroom, but too few ever know how race is repeatedly a catalyst for their personal use of racial microaggressions. Consequently, racial microaggressions can and regularly do occur in any classroom, including yours, oftentimes unconsciously, always destructively.I write this fully conscious of the possibility of outright rejection or uninformed rationalization on the part of my target audience: any and all educators of Black students in America. There's also this idea, noted Anne Gregory, that ""if we name the phenomenon, it's teacher blaming"" even when it's not. Teacher or administrator blaming triggers denial and defensiveness, which is totally counterproductive if the goal is reflection and continuous improvement. My goal is to thoroughly inform, promote accountability, and hopefully inspire change, but certainly not just blame. While homicidal racial violence (e.g., filmed police killings of unarmed Black people) and other ""hate crimes receive the most attention,"" the greatest race-based damage ""to the life experiences of people of color is from racial microaggression."" These ""cumulative insults"" perpetuate feelings of inferiority and cause unnecessary, chronic (and brain-changing) ""stress to people of color while privileging whites."" Regrettably, the ""most detrimen¬tal forms of microaggressions can be delivered by well-intentioned individuals who are unaware that they have engaged in harmful conduct toward members of a socially devalued group.""Yet, when they are made aware of their behavior, most microaggressors tend to ""deny that they intended to offend, believe the person of color raising the issue is 'oversensitive, ' 'paranoid, ' or has simply misinterpreted the situation."" Even when acknowledging their unintentional (and usually habitual) use of microaggressions, offenders (oftentimes impulsively seeking self-defense) are more likely to trivialize, exceptionalize, or rationalize than adequately problematize it.Racial microaggressions are absolutely ""acts of racism,"" confirmed Richard Delgado and Jean Stefancic, ""consciously or unconsciously perpetrated, welling up from the assumptions about racial matters most of us absorb from the cultural heritage in which we come of age in the United States.""Students of color frequently experience racial microaggressions in all kinds of school situations. Research shows that relative to other non-White students nationally, African-American students are more likely to experience them from their microaggression-ignorant teachers and school administrators than from their classmates. Accordingly, it is imperative for all educators (i.e., teachers and administrators) of Black students to intentionally develop our capacity to recognize and confront anti-Black racial microaggressions (i.e., become microaggression-informed) and to stop committing them ourselves. This book will help you do just that by focusing specifically on the unique causes, consequences, and anticatalysts of racial microaggressions being committed against African-American elementary and secondary students every day in classrooms and schools across this country.","Please check out more of our related titles at thePGI.org/global-press!This book was written to promote those typically unfamiliar or unpracticed strategies that if normalized can help us best educate all K-12 students, regardless of race.",0998064572,
88,Recognizing Microaggressions,,Nadra Nittle,"A classmate questions how you got into college. A neighbor clutches her purse when you pass. A job interviewer compliments your English. Every day these experiences leave people of color scratching their heads, and before long, they're impossible to ignore. After all, the neighbor doesn't clutch her purse when whites approach. So, what gives? Is she racist? Making that call is hard when people aren't obviously bigots, but their behavior has a name: racial microaggressions. These slights are indeed real; you're not imagining things. With this book, readers will learn what microaggressions are, why they're bad news, and how to handle them.","These slights are indeed real; you&#39;re not imagining things. With this book, readers will learn what microaggressions are, why they&#39;re bad news, and how to handle them.",9781978504431,
90,"Microaggressions, Safe Spaces, and Trigger Warnings",,Gary Wiener,"Despite the name, trigger warnings have nothing to do with gun control, and safe spaces don't necessarily mean state-of-the-art panic rooms. Instead, these terms and the phrase ""microaggressions"" relate to preserving and protecting one's emotional safety. In this volume, readers will learn about the increased demand for sensitivity in social settings, in literature and media, and on the Internet. They will also encounter the opposing view, that we, as a society, are becoming too fragile and don't need figurative bulletproof vests for every occasion.","In this volume, readers will learn about the increased demand for sensitivity in social settings, in literature and media, and on the Internet.",9781534502314,
92,Microaggressions and Philosophy,,Lauren Freeman,"This is the first book to offer a philosophical engagement with microaggressions. It aims to provide an intersectional analysis of microaggressions that cuts across multiple dimensions of oppression and marginalization, and to engage a variety of perspectives that have been sidelined within the discipline of philosophy. The volume gathers a diverse group of contributors: philosophers of color, philosophers with disabilities, philosophers of various nationalities and ethnicities, and philosophers of several gender identities. Their unique frames of analysis articulate both how the concept of microaggressions can be used to clarify and sharpen our understanding of subtler aspects of oppression and how analysis, expansion, and reconceiving the notion of a microaggression can deepen and extend its explanatory power. The essays in the volume seek to defend microaggressions from common critiques and to explain their impact beyond the context of college students. Some of the guiding questions that this volume explores include, but are not limited to, the following: Can microaggressions be established as a viable scientific concept? What roles do microaggressions play in other oppressive phenomena like transphobia, fat phobia, and abelism? How can epistemological challenges around microaggressions be addressed via feminist theory, critical race theory, disability theory, or epistemologies of ignorance? What insights can be gleaned from intersectional analyses of microaggressions? Are there domain-specific analyses of microaggressions that would give insight to features of that domain, i.e. microaggressions related to sexuality, athletics, immigration status, national origin, body type, or ability. Microaggressions and Philosophyfeatures cutting-edge research on an important topic that will appeal to a wide range of students and scholars across disciplines. It includes perspectives from philosophy of psychology, empirically informed philosophy, feminist philosophy, critical race theory, disability theory, philosophy of language, philosophy of science, and social and political philosophy.",The essays in the volume are divided into four thematic parts. The essays in Part I seek to defend microaggressions from common critiques and to explain their impact beyond the context of college students.,0367077418,
94,Racial Microaggressions,Using Critical Race Theory to Respond to Everyday Racism,Daniel G. Solórzano,"Drawing from over 2 decades of research, this book offers an in-depth analysis of a systemic form of everyday racism commonly experienced by People of Color. Racial microaggressions are layered and cumulative assaults, often carried out in subtle and unconscious ways, which take a psychological and physiological toll on the body, mind, and spirit. The authors make a unique contribution to the study of racial microaggressions by using Critical Race Theory (CRT) to develop the concepts, frameworks, and models provided in this book. Focusing on the lived experiences of People of Color, Racial Microaggressions in Education can be used to disrupt the everyday racism that continues to target so many Communities of Color. “A brilliant and timely contribution to the current discussions and actions related to race and racism.” —Dolores Delgado Bernal, California State University, Los Angeles “An excellent review of critical race theory and methods.” —Margaret Montoya, University of New Mexico “Timely, relevant, evidenced based, and instructive, this book is essential reading for those who want to commit themselves to achieving racial justice in education.” —Tyrone C. Howard, professor, University of California, Los Angeles “Beautifully written with passion, humanity, and academic rigor. An essential examination of racial microaggressions as a key issue facing contemporary educators and society at large.” —David Gillborn, professor of critical race studies, University of Birmingham","Drawing from over 2 decades of research, this book offers an in-depth analysis of a systemic form of everyday racism commonly experienced by People of Color.",9780807779095,Racial Microaggressions Using Critical Race Theory to Respond to Everyday Racism
96,"Microaggressions and Social Work Research, Practice and Education",,Michael S. Spencer,"While blatant forms of racism and discrimination have largely been condemned in our society, systematic oppression and racism can be manifested in a less obvious form, as ‘microaggressions’. The term, originally developed in the 1970s by Chester Peirce to describe the ways in which Black people were ""put down"" by their White counterparts, has since been expanded to describe both conscious and unconscious acts that reflect superiority, hostility, and racially inflicted insults and demeanors to marginalized groups of people. This book provides a platform for social work researchers, scholars, and practitioners to present their research, ideas, and practices pertaining to ways in which microaggressions and other subtle, but lethal forms of discrimination impact marginalized populations within social work and human services. Contributors discuss the impact of microaggressions in social work as they relate to race; gender and gender expression; sexual orientation; class; and spirituality. The book also examines curriculum, pedagogy, and the academic climate as targets for intervention in social work education. This book was originally published as a series of special issues of the Journal of Ethnic and Cultural Diversity in Social Work.",This book was originally published as a series of special issues of the Journal of Ethnic and Cultural Diversity in Social Work.,9780429863998,
98,Microaggressions in Ministry,Confronting the Hidden Violence of Everyday Church,Cody J. Sanders,"Carlosa third-generation U.S. citizen from New Jersey whose family emigrated from Colombia many years before Carlos was bornis often complimented on how articulate he is and asked how long he has been in the United States. Deborah, a Certified Public Accountant (CPA) who is up for election as church treasurer, has her qualifications questioned, debated, and scrutinized by the congregation far more than any of her male predecessors who were elected with a simple vote. Lisa, a male-to-female transgender person, attends a Sunday school where her classmates continue to refer to her with masculine pronouns (he, him, his). The three examples above portray microaggressions: subtle slights, insults, and indignities expressed to persons of varied minority statuses. Although microaggressions are usually unintentional, they occur on a regular basis in education, the workplace, and daily life. This is the first book that addresses the concept of microaggressions in ministry and church life. Drawing from their background as ordained clergy, Sanders and Yarber introduce ministry leaders to the concept of microaggressions and look specifically at microaggressions directed at race, gender, and sexuality in the church. Sanders and Yarber help readers become more aware of these subtle and often unconscious communications, offering realistic examples and guidance for grappling with this issue in preaching, religious education, worship, spirituality, and pastoral care and counseling. Microaggressions in Ministry equips congregations with methods for assessment and tools for action that will ultimately help create stronger, more welcoming faith communities.","Although microaggressions are usually unintentional, they occur on a regular basis in education, the workplace, and daily life. This is the first book that addresses the concept of microaggressions in ministry and church life.",9781611646337,Microaggressions in Ministry Confronting the Hidden Violence of Everyday Church
100,Microaggressions and Modern Racism,Endurance and Evolution,Charisse C. Levchak,"Microaggressions and Modern Racism: Endurance and Evolution explores the causes, manifestations, and consequences of microaggressions, macroaggressions, and modern racism within society. Using surveys and interview data alongside examples in mainstream media, Levchak provides a comprehensive analysis of modern racism on college campuses, in workplaces, and in various media. In so doing, she expands microaggression theory and explores race-based aggression and race relations through sociological and social justice frameworks. The resources offered here have the potential to inform anti-racism policy, programming, and practice that can impact the lives and well-being of all people.","Microaggressions and Modern Racism: Endurance and Evolution explores the causes, manifestations, and consequences of microaggressions, macroaggressions, and modern racism within society.",9783319703329,Microaggressions and Modern Racism Endurance and Evolution
102,Microaggressions and Philosophy,,Lauren Freeman,"This is the first book to offer a philosophical engagement with microaggressions. It aims to provide an intersectional analysis of microaggressions that cuts across multiple dimensions of oppression and marginalization, and to engage a variety of perspectives that have been sidelined within the discipline of philosophy. The volume gathers a diverse group of contributors: philosophers of color, philosophers with disabilities, philosophers of various nationalities and ethnicities, and philosophers of several gender identities. Their unique frames of analysis articulate both how the concept of microaggressions can be used to clarify and sharpen our understanding of subtler aspects of oppression and how analysis, expansion, and reconceiving the notion of a microaggression can deepen and extend its explanatory power. The essays in the volume seek to defend microaggressions from common critiques and to explain their impact beyond the context of college students. Some of the guiding questions that this volume explores include, but are not limited to, the following: Can microaggressions be established as a viable scientific concept? What roles do microaggressions play in other oppressive phenomena like transphobia, fat phobia, and abelism? How can epistemological challenges around microaggressions be addressed via feminist theory, critical race theory, disability theory, or epistemologies of ignorance? What insights can be gleaned from intersectional analyses of microaggressions? Are there domain-specific analyses of microaggressions that would give insight to features of that domain, i.e. microaggressions related to sexuality, athletics, immigration status, national origin, body type, or ability. Microaggressions and Philosophy features cutting-edge research on an important topic that will appeal to a wide range of students and scholars across disciplines. It includes perspectives from philosophy of psychology, empirically informed philosophy, feminist philosophy, critical race theory, disability theory, philosophy of language, philosophy of science, and social and political philosophy.",This is the first book to offer a philosophical engagement with microaggressions.,9780429663611,
104,Microaggressions in Everyday Life,,Derald Wing Sue,"The essential, authoritative guide to microaggressions, revised and updated The revised and updated second edition of Microaggressions in Everyday Life presents an introduction to the concept of microaggressions, classifies the various types of microaggressions, and offers solutions for ending microaggressions at the individual, group, and community levels. The authors—noted experts on the topic—explore the psychological effects of microaggressions on both perpetrators and targets. Subtle racism, sexism, and heterosexism remain relatively invisible and potentially harmful to the wellbeing, self-esteem, and standard of living of many marginalized groups in society. The book examines the manifestations of various forms of microaggressions and explores their impact. The text covers: researching microaggressions, exploring microaggressions in education, identifying best practices teaching about microaggressions, understanding microaggressions in the counseling setting, as well as guidelines for combating microaggressions. Each chapter concludes with a section called ""The Way Forward"" that provides guidelines, strategies, and interventions designed to help make our society free of microaggressions. This important book: Offers an updated edition of the seminal work on microaggressions Distinguishes between microaggressions and macroaggressions Includes new information on social media as a key site where microaggressions occur Presents updated qualitative and quantitative findings Introduces the concept of microinterventions Contains new coverage throughout the text with fresh examples and new research findings from a wide range of studies Written for students, faculty, and practitioners of psychology, education, social work, and related disciplines, the revised edition of Microaggressions in Everyday Life illustrates the impact microaggressions have on both targets and perpetrators and offers suggestions to eradicate microaggressions.",This important book: Offers an updated edition of the seminal work on microaggressions Presents a new concept of &quot;microinterventions&quot; as anti-bias strategies Makes distinctions between &quot;microaggressions&quot; and &quot;macroaggressions&quot; Includes new ...,9781119513803,
106,The Rise of Victimhood Culture,"Microaggressions, Safe Spaces, and the New Culture Wars",Bradley Campbell,"The Rise of Victimhood Culture offers a framework for understanding recent moral conflicts at U.S. universities, which have bled into society at large. These are not the familiar clashes between liberals and conservatives or the religious and the secular: instead, they are clashes between a new moral culture—victimhood culture—and a more traditional culture of dignity. Even as students increasingly demand trigger warnings and “safe spaces,” many young people are quick to police the words and deeds of others, who in turn claim that political correctness has run amok. Interestingly, members of both camps often consider themselves victims of the other. In tracking the rise of victimhood culture, Bradley Campbell and Jason Manning help to decode an often dizzying cultural milieu, from campus riots over conservative speakers and debates around free speech to the election of Donald Trump.","These are not the familiar clashes between liberals and conservatives or the religious and the secular: instead, they are clashes between a new moral culture—victimhood culture—and a more traditional culture of dignity.",9783319703299,"The Rise of Victimhood Culture Microaggressions, Safe Spaces, and the New Culture Wars"
108,Racial Microaggressions in Education,Using Critical Race Theory to Respond to Everyday Racism,Daniel Solórzano,"""This unique contribution to the study of racial microaggressions uses Critical Race Theory (CRT) to develop concepts, frameworks, and models. With a focus on the lived experiences of People of Color, this book can be used to disrupt the everyday racism that continues to target so many Communities of Color""--","With a focus on the lived experiences of People of Color, this book can be used to disrupt the everyday racism that continues to target so many Communities of Color&quot;--",0807764388,Racial Microaggressions in Education Using Critical Race Theory to Respond to Everyday Racism
110,Racial Microaggressions in Academia: Black Students’ Perspective,A Dissertation Presented to the Faculty of Springfield College in Partial Fulfillment of the Requirements for the Degree Doctor of Philosophy,Patricia Elisnord,"ABSTRACT: The current study was designed to explore the experiences of Black and or African American identified student’s experiences with instances of racial microaggressions in academic settings. Black students from a predominantly White institution in the Northeast were interviewed using a semi-structured interview format to explore the following research questions: (a) what is the experience of Black students with racial microaggressions in academic settings? (b) How do Black students navigate instances of racial microaggressions in academic settings? (c) How does the experience of racial microaggressions impact educational motivation and performance? Results included several themes including being perceived as an aggressor or criminal, under or over representation, normalizing, presumptions/stereotyping, despondent, fear of retaliation disconfirmation, and self-doubt. Black students associated their racial microaggressive experience with being Black and having a different racial background then their aggressors. Each theme was broken down and discussed further in this paper. The findings provide insight towards the need to bring awareness to academic institutions and policy makers, encourage the implementation of additional support in academic settings for Black students, as well as information to better inform mental health counselors and psychologists working with this population.",ABSTRACT: The current study was designed to explore the experiences of Black and or African American identified student&#39;s experiences with instances of racial microaggressions in academic settings.,OCLC:1192543495,Racial Microaggressions in Academia: Black Students’ Perspective A Dissertation Presented to the Faculty of Springfield College in Partial Fulfillment of the Requirements for the Degree Doctor of Philosophy
