,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
165,Structuring Venture Capital 2016e,,LEVIN,"Now, you can minimize your clients' tax liability and avoid legal pitfalls, as well as maximize returns on successful transactions and be prepared for all of the potential benefits, with Structuring Venture Capital, Private Equity and Entrepreneurial Transactions, 2016 Edition. Here at last is one-step-at-a-time, start-to-finish structural guidance for the following common business transactions: Venture capital financing New business start-ups Brains-and-money deals Growth-equity investments Leveraged and management buyouts Industry consolidations Troubled company workouts and reorganizations Going public Selling a business Forming a private equity fund Guided by Jack S. Levin and Donald E. Rocap's dynamic, transaction-by-transaction approach, you'll make the tax, legal, and economic structuring consequences of every deal benefit your client every time. In this extraordinary hands-on resource by the most sought-after authorities in the field, you'll see exactly how to: Distribute the tax burden in your client's favor Maximize returns on successful transactions Control future rights to exit a profitable investment And turn every transaction into a winning venture!",9781454872429,
169,"Water, Place, and Equity",,John M. Whiteley,"Many predict that by the end of the 21st century water will dominate world natural resource politics as oil does today. At present, much of the world's water is misallocated, wasted or polluted. This book argues that fairness in the allocation of water could be the cornerstone to a more secure future for mankind.",STANFORD:36105131730033,
174,Equity Holders Under Siege,,Henry Furlow Owsley,"A sophisticated ""how to"" for owners of troubled companies who want to salvage as much of their equity as possible in the face of daunting foes.",1587983036,
176,The Principles of Equity and Trusts,,Graham Virgo,"The Principles of Equity & Trusts offers a refreshing, student-focused approach to a dynamic area of law. In the third edition of his best-selling textbook, Professor Graham Virgo brings his expertise as a teacher to present an engaging, contextual account of the essential principles of trusts and their equitable remedies. Virgo states the law in plain terms before building on an area of debate and encouraging students to fully engage with the inherent issues within the subject. Concise and authoritative analysis enables students to grasp the principles of trusts, develop the confidence to engage fully with the subject area, and excel in their studies. Virgo approaches the topics with unparalleled clarity and provides the academic rigour for which this text has come to be relied upon. Combining expert knowledge and comprehensive coverage, The Principles of Equity & Trusts is the ideal companion to a course in trusts.",9780198804710,
178,A Student's Guide to Equity and Trusts,,Judith Bray,"Brings Equity and Trusts to life for students of all abilities with clearly explained principles and simple, practical examples.",9781108473088,
180,Equity and the Law of Trusts,,Philip H. Pettit,"This well-respected textbook, offering a traditional approach to equity and trusts, has been a trusted resource for academics and students for nearly 50 years. It gives an exceptionally in-depth and thorough account of equity and trusts law, providing everything the student needs to understand the issues.",9780199694952,
184,"Equity & Trusts: Text, Cases, and Materials",,Paul S. Davies,"""This book has emerged ... from Maudsley and Burn's trusts and trustees: cases and materials, the seventh edition of which was published in 2008""--Preface.",9780199661480,
186,Cases on Equitable Relief Against Defamation and Injuries to Personality,"Supplementary to Ames's Cases in Equity Jurisdiction, Vol; I (Classic Reprint)",Roscoe Pound,"Excerpt from Cases on Equitable Relief Against Defamation and Injuries to Personality: Supplementary to Ames's Cases in Equity Jurisdiction, Vol; I A motion against the printer of the Champion, and the printer of the St. J ames's Evening Post that the former who is already in the Fleet. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0666004382,"Cases on Equitable Relief Against Defamation and Injuries to Personality Supplementary to Ames's Cases in Equity Jurisdiction, Vol; I (Classic Reprint)"
189,Equity and Trusts Law Directions,,Gary Watt,"The Directions series has been written with students in mind. The ideal guide as they approach the subject for the first time, this book will help them: DT Gain a complete understanding of the topic: just the right amount of detail conveyed clearly DT Understand the law in context: with scene-setting introductions and highlighted case extracts, the practical importance of the law becomes clear DT Identify when and how to critically evaluate the law: they'll be introduced to the key areas of debate and given the confidence to question the law DT Deepen and test knowledge: visually engaging learning and self-testing features aid understanding and help students tackle assessments with confidence Elevate their learning: with the ground-work in place you can aspire to take learning to the next level, with direction provided on how to go further Online Resources Centre An extensive Online Resource Centre provides a wide range of extra resources to further support studies, including: Student resources: DT Three video lectures presented by Gary Watt introduce key areas of debate within the subject DT General guidance on answering essay questions and problem scenarios DT Sample essay questions and problem scenarios, along with answer guidance DT Updates to the law post-publication DT Web links to further primary sources and commentary to aid your understanding DT Flashcard glossary to help test your knowlegde of key terms Lecturer resources: DT Test bank, comprising 200 multiple choice questions with answers and feedback",9780198747628,
194,Judging Equity,The Fusion of Unclean Hands in U.S. Law,T. Leigh Anenson,"Based on author's thesis (doctoral - Monash University, Australia, 2017).",9781107160477,Judging Equity The Fusion of Unclean Hands in U.S. Law
196,Unlocking Equity and Trusts,,Mohamed Ramjohn,"Unlocking Equity and Trusts will help you grasp the main concepts of Equity and Trusts with ease. Containing accessible explanations in clear and precise terms that are easy to understand, it provides an excellent foundation for learning and revising. The information is clearly presented in a logical structure and the following features support learning helping you to advance with confidence: Clear learning outcomes at the beginning of each chapter set out the skills and knowledge you will need to get to grips with the subject Key Facts summaries throughout each chapter allow you to progressively build and consolidate your understanding End-of-chapter summaries provide a useful check-list for each topic Cases and judgments are highlighted to help you find them and add them to your notes quickly Frequent activities and self-test questions are included so you can put your knowledge into practice Sample essay questions with annotated answers prepare you for assessment Glossary of legal terms clarifies important definitions This edition has been updated to include a brand new chapter on equitable remedies, an expanded chapter on fiduciaries and extended coverage of tracing. It also discusses recent developments in the law such as the Trusts (Capital and Income) Act 2013, the Supreme Court decision in Futter on the Rule in Re Hastings Bass, and the amended Public Benefit guidance issued by the Charity Commission. The books in the Unlocking the Law Series get straight to the point and offer clear and concise coverage of the law, broken-down into bite-size sections with regular recaps to boost your confidence. They provide complete coverage of both core and popular optional law modules, presented in an innovative, visual format and are supported by a website which offers students a host of additional practice opportunities. Visit www.unlockingthelaw.co.uk for access to free study resources, including multiple choice questions, key questions and answers, revision mp3s and cases and materials exercises.",9781317581567,
198,Equity and Trusts,,Chris Turner,"Key Facts is the essential revision series for anyone studying law, including LLB, ILEX and post-graduate conversion courses. The Key Facts series provides the simplest and most effective way for you to absorb and retain the essential facts needed to pass your exams effortlessly. Key features include: * Diagrams at the start of chapters to summarise the key points * Structured heading levels to allow for clear recall of the main facts * Charts and tables to break down more complex information New to these editions is an improved text design making the books easier to read and the facts easier to retain. Key Facts books are supported by the website www.UnlockingTheLaw.co.uk where you will find extensive revision materials including MCQs and Key Q&As.",9781444110883,
200,A Digest of Equity (Classic Reprint),,J. Andrew Strahan,"Excerpt from A Digest of Equity Owing to the absence of Mr. Kenrick in India, this Edition has had to be prepared without the benefit of his assistance. The substantial alterations are that Book I., dealing with the Jurisdiction of Chancery, has been recast and enlarged, and that to Book II. three new Articles have been added on Married Women's and Infants' Property. As regards the part from Mr. Kenrick's pen (Sections I. to V. of Book III.), Mr. Strahan, save for deleting two Articles which the enlargement of Book I. rendered superfluous and some of the authorities cited which seemed to him too numerous for a student's book, has done no more than bring it up to date. Mr. Strahan has to thank many gentlemen for suggestions and criticisms, and especially his friend and former pupil, Mr. Norman Oldham, of the Inner Temple, Barrister-at-Law, who was also kind enough to read the proofs. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0428865100,
202,The Law of Trusts,,James Penner,"The Core Text Series takes the reader straight to the heart of the subject, providing a reliable and invaluable guide for students of law at all levels. Written by leading academics and renowned for their clarity, these concise texts explain the intellectual challenges of each area of the law. The Law of Trusts provides a concise, yet academically rigorous, textbook that skilfully engages with both controversial and complex issues within the subject. James Penner provides perceptive analysis and original and thought-provoking commentary to give students an excellent grounding in what is considered to be a challenging subject. Drawing on a variety of learning features, including summaries of key issues discussed in each chapter, must-read cases, assessment questions, and carefully selected further reading, this approachable and thorough textbook equips students with the tools they need to engage critically with the subject.",9780198747598,
204,Key Cases: Equity & Trusts,,Judith Bray,The Key Cases series provides a portable and effective way for you to absorb and retain the essential facts needed to pass your exams effortlessly.,9781444137835,
206,Equity in Commercial Law,,Simone Degeling,"Based on the papers presented at ""Fusion: The Interaction of Common Law & Equity in Commercial Law"", this book brings together in one volume a series of chapters from a team of prestigious contributors analysing the interaction of common law and equity in commercial law. The editors have specifically chosen commentaries that reflect current problems in legal analysis from the viewpoint of commercial legal practitioners. Providing a rigorous discussion of the emerging cases and trends in commercial law, this work of exceptional legal scholarship presents a compelling offering for judges, barristers, academics, commercial litigators and anyone interested in where the law is heading in this area. The collection provides access to views from the world's leading commentators in this field including esteemed judges, legal practitioners and academics from Australia, Canada, England, Ireland and New Zealand.",0455222088,
214,Equity and Law,,John C. P. Goldberg,"The fusion of law and equity in common law systems was a crucial moment in the development of the modern law. In this volume leading scholars assess the significance of the fusion of law and equity from comparative, doctrinal, historical and theoretical perspectives.",9781108421317,
216,Equity in English Renaissance Literature,Thomas More and Edmund Spenser,Andrew J. Majeske,"This book accounts for the previously inadequately explained transformation in the meaning of equity in sixteenth century England, a transformation which, intriguingly, first comes to light in literary texts rather than political or legal treatises. The book address the two principal literary works in which the transformation becomes apparent, Thomas More's Utopia and Edmund Spenser's Faerie Queene, and sketches the history of equity to its roots in the Greek concept of epieikeia, uncovering along the way both previously unexplained distinctions, and a long-obscured esoteric meaning. These rediscoveries, when brought to bear upon the Utopia and Faerie Queene, illuminate critical though relatively neglected textual passages that have long puzzled scholars.",9780415977050,Equity in English Renaissance Literature Thomas More and Edmund Spenser
224,Mixed - An Inspiring Story about Colour,,Arree Chung,"The Blues, Reds and Yellows lived in harmony. Reds were the loudest, Yellows the brightest and Blues were the coolest. However when one of the colours proclaims they are the best, discord breaks out and eventually the colours decide to live in different parts of the city. Then one day a Yellow befriends a Blue and they become inseparable, discovering a world of different possibilities and colours. From the brilliantly talented Arree Chung comes a sweet tale of difference and acceptance. Mixed is a charming and timely story with characterful illustrations and humour.",1509871330,
226,Pink Tiara Cookies for Three,,Maria Dismondy,"When Jasmine moves in across the street, best friends Sami and Stella learn to make room for one more friend.",0615516203,
228,Landscapes of Music in Istanbul,A Cultural Politics of Place and Exclusion,Alex G. Papadopoulos,"Biographical note: Alex Papadopoulos is Associate Professor of Geography at DePaul University, Chicago. He studies the contestation of urban space in European cities.Asli Duru is Marie Curie Fellow at The Open University, London, and studies everyday geographies of health and wellbeing.",3837633586,Landscapes of Music in Istanbul A Cultural Politics of Place and Exclusion
234,Assessing the Perceived and Actual Use of Evidence-based Interventions for Children with Autism Spectrum Disorders in General Education Preschool Programs,,Shanna E. Reese,This study examined relationships between rate of intervention use and hours of professional development training and specific education on the included interventions.,OCLC:1047961182,
235,Adventures of Little Blacky Up to the Mountain,,Galina Dovich,"This is the second story about Little Blacky, the black lamb, who was born into a flock of white sheep. In the first story, A Cure For Blind Hearts, he was looking for his place in the world and in his flock, and was answering the important questions: What does it mean to be different? Is it right to be unlike the others? Can we judge by looks? Meet Little Blacky again and join him in his new journey. This time he is chasing one of his dreams, which is to become as white as the other sheep in the flock. Read this story and find out whether he realizes his dream. Learn what new friends he meets on his way. This is a fun and touching story about friendship, diversity and inclusion.",OCLC:1195949394,
