,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
65,Racial Microaggressions and Its Impact on Supervisees of Color in Cross-racial Counseling Supervision,,Niyatee Sukumaran,"Supervision is considered to be a primary method of clinical instruction (Holloway, 1992), which serves as a foundation to train supervisees and to ensure the provision of appropriate and culturally sensitive client care. While the representation of supervisees of color in the field of psychology is continuing to increase, it appears important to recognize multicultural issues (e.g., racial microaggressions) as it exists and/or emerges in cross-racial supervision. Although less is known about how racial microaggressions influence supervisees of color, the purpose of this study was to investigate how experiences of racial microaggressions affects the supervisory working alliance, their perceptions of their supervisors’ multicultural competence, and supervisee outcome variables (i.e., counseling and multicultural counseling self-efficacy) in cross-racial supervision. The results showed that perceived supervisor multicultural competence partially mediated the relationship between racial microaggressions and supervisory working alliance. Both, supervisory working alliance and perceived supervisor multicultural competence fully mediated the relationship between racial microaggressions and multicultural counseling self-efficacy. However, no support for the mediation was found in this sample for counseling self-efficacy. Limitation, implications and future directions are discussed.",OCLC:957157625,
66,Disarming Microaggressions,How Black College Students Self-regulate Racial Stressors Within Predominately White Institutions,Nicole L. Watkins,"Implications of this study will contribute to research, theory, and educational practices as it applies to the promotion of culturally congruent college environments and the diversification of the academy.",OCLC:867754650,Disarming Microaggressions How Black College Students Self-regulate Racial Stressors Within Predominately White Institutions
67,Black Female Graduate Students' Experiences of Racial Microaggressions at a Southern University,,Kendra Elizabeth Shoge,"Researchers have found that microaggressions can cause psychological distress, frustration, avoidance, confusion, resentment, hopelessness, and fear. Previous studies from Southern universities have addressed the adjustment experiences of Black women in graduate programs, obstacles faced by Black women in higher education and strategies to overcome those obstacles, and factors associated with Black student motivation and achievement. Discrimination and racism are factors identified in those studies, however, there is little research on the experiences of Black women in graduate programs and the impact of racial microaggressions on them. The purpose of this study was to examine Black female graduate students' experiences of racial microaggressions at a Southern university. Five women participated in the study, and a phenomenological research design was used to identify individual and group themes. These themes revealed the impact of racial microaggressions on the participants, as well as the campus climate. Findings suggest training opportunities and mentor programs that would improve experiences for Black female graduate students on campus.",OCLC:1140906249,
68,Terrible Allies,"A Comic about Allies + ""alllies""",Shana T Bryant,"Comic zine includes short stories about experiencing microaggressions and racism from so-called ""allies"".",OCLC:1241986961,"Terrible Allies A Comic about Allies + ""alllies"""
69,Overcoming Everyday Racism,Building Resilience and Wellbeing in the Face of Discrimination and Microaggressions,Susan Cousins,"Considering the impact of racism and discrimination on mental health, this handbook offers tools to improve wellbeing, manage everyday racism and live with more resilience. It includes case examples, spaces for reflection and creative exercises in areas such as self-acceptance, positive relations with others and purpose in life.",1785928503,Overcoming Everyday Racism Building Resilience and Wellbeing in the Face of Discrimination and Microaggressions
71,Why Can't We Sleep?,Impact of Race and Social Status on Sleep in College Students,Jullian Silva-Jones,"Assesses the impacts of discrimination, microaggression, and socioeconomic status on sleep in college students. Analyzes moderators of racial identity and sleep hygiene as potential buffers of the impact from discrimination.",OCLC:1132722429,Why Can't We Sleep? Impact of Race and Social Status on Sleep in College Students
72,"Muslim, Jewish, and Christian Women Living with Resilience Amidst Microaggressions and Macroaggressions in King Count",,Kristen R. Moss,"""This qualitative research project explores how Muslim, Jewish, and Christian women with intersecting identities (social locations) of race, gender, religion, ethnicity, national origin, indigenous heritage, social class, age, and ability live with amid micro and macroaggressions. Existing research on trauma and resilience and the theological frameworks that undergirded the project are presented. Additionally, hate crime statistics and a brief history of hate crime legislation are discussed to illustrate patterns and trends and to expose knowledge gaps caused by unreported and underreported hate crimes (Anti-Defamation League, 2018a, p. 1). Furthermore, this project illuminates the impact of non-criminal micro and macroaggressions--either intentional or non-intentional--on individuals who do not belong to the local or global dominant groups. Through a process of semi-structured interviews, eleven diverse women--representing the three Abrahamic faiths--were invited to share about the best and hardest aspects of living in King County, WA; their relationship with God; how they respond to harm and adversity; how their faith informs their response; and symbols that for them mean all will be okay""--Abstract.",OCLC:1176567263,
73,Microaggressions Between the Races,,Virginia Audene Maher,Microaggressive behaviors have been studied through the lens of psychology and sociology. This research looks at the communication phenomenon of microaggressive communications both verbal and non verbal through the lens of a communication scholar. The research also takes the study a step further in looking at the idea of colorism and with in the same-race microaggressive acts. The theories of Critical race and co-cultural guide the researcher in this study.,OCLC:1052897533,
74,So We Beat on,How Native Interpreters at Living History Museums Experience Racial Microaggressions,Sierra Ann Young,"For a long and painful time, dominant society has chosen how and for what purposes Indigenous history and identity is portrayed to the general public. From the racist ethnographic displays of yesteryear to the often problematic living history museums of today, Native American interpreters have had to cope with the fundamental disconnect between the reality of contemporary Native American culture and non-Native individuals’ expectations of it. The purpose of this study is to understand the extent to, and ways in which, Native American interpreters at living history museums experience and deal with instances of racism while interpreting their Native history. This study was guided by Indigenous research methodologies, and includes interviews with six Native American interpreters working at sites across the United States. Using Derald Wing Sue's racial microaggression framework, this study found that all of the interpreters experienced racial microaggressions, and that they have found ways of mitigating the effects of their negative experiences. Living history museums can consider some of these mitigation techniques in order to encourage and maintain Native participation at their sites.",OCLC:954057339,So We Beat on How Native Interpreters at Living History Museums Experience Racial Microaggressions
75,The Power of Language,How the Words We Use Reflect Our Biases,Otter Lynn Day,"The purpose of this study was to investigate the relationship between language use and attitudes related to sexual orientation. Significant research has demonstrated that the use of microaggressions (slurs, snubs, or insults used to communicate hostility) towards targeted minorities carries detrimental consequences on a societal and individual level. While racially charged and gendered microaggressions have been investigated, a gap exists regarding sexual orientation microaggressions; more specifically, the word “Queer”. Participants were asked to answer questions related to the use of “Queer” along with several measures of related constructs. Results indicate differences between homosexuals and heterosexuals in the use of “Queer” in terms of dynamic language, honesty, frequency and power. Explicit attitudes, religious fundamentalism, social dominance orientation, and conservatism emerged as predictors of the use of “Queer”. Findings provide insightful evidence to how language is used to perpetuate social norms related to sexual orientation that can be applied in a variety of settings to foster safer environments for the targeted group.",OCLC:1137549079,The Power of Language How the Words We Use Reflect Our Biases
76,Experiences of Graduate Muslim Students with Religious Microaggressions,,Mohamed I. Amira,"The purpose of this study was to explore the experiences of graduate Muslim students at a US Midwest institution of higher education with religious microaggressions. Although a significant amount of research has been conducted on racial microaggressions, few research studies have investigated religious microaggressions. None of the studies on religious microaggressions have examined the experiences of graduate Muslim students at an institution of higher education. A qualitative design that used individual interviews was followed to collect data from 16 participants from different countries with different immigration statuses..",OCLC:1105810821,
77,Individual's Self Awareness of Mental Illness,"The Effects on Implicit Bias, Microaggressions, and Racial Discrimination",Sarah M. Zoubaa,"The purpose of the current study is to understand the factors that impact how persons experiencing subclinical psychological symptoms or an undiagnosed but clinically significant psychological problem perceive individuals who [have] been diagnosed with mental illness. Previous literature has investigated the experiences of discrimination among those with mental health problems, but not their attitudes and behavior towards individuals among their in-group. It was hypothesized that individuals with an emerging mental health problem will have higher rates of implicit bias and perpetrate more microaggressions towards those with a mental illness in order to remove themselves from a group that is associated with a great deal of public stigma. Researchers also investigated self-awareness of a mental health problem arising and experiences of racial discrimination as mediators of the relationship. Results indicated that individuals with an emerging mental illness perceived public stigma to be greater than those individuals with no emerging mental illness, but did not have more self-stigma, implicit bias, or perpetrate more microaggressions. Self-awareness moderated the relationship between an emerging mental illness and the perception of public stigma. Individuals with an emerging mental illness reported experiencing more racial microaggressions and discrimination than those individuals without an emerging mental illness.",1392073251,"Individual's Self Awareness of Mental Illness The Effects on Implicit Bias, Microaggressions, and Racial Discrimination"
79,"Past Traumas, Present Griefs","Exploring the Effects of Colonialism, Microaggressions, and Stereotyping from Wild West Shows to Indigenous Literature",Kimberly Dawn Allen,"Beginning in the nineteenth century and moving into the twenty-first century, it will examine representations of Native American people in George Catlin's Indian Gallery, Buffalo Bill's Wild West Show, film, and literature. Establishing the foundation of continued Euro-American and European racism, microaggression, and stereotyping in popular culture and examining the ways in which contemporary Native American authors respond to these issues in their literature and the patterns that evolve in their search for narrative answers, it hopes to draw attention to the effects of colonialism, racism, stereotyping, and discrimination on Native American people.",1321936575,"Past Traumas, Present Griefs Exploring the Effects of Colonialism, Microaggressions, and Stereotyping from Wild West Shows to Indigenous Literature"
81,An Exploratory Study of African American Male Students' Experiences and Coping Strategies of Racial Microaggression in Secondary Schools in Texas,,Felicia T. Donaldson,"Racial microaggression was identified by researchers as the new form of racism, or the modern racism (Meeks, 2010). Racial microaggressions are the subtle and covert measures of racism (Sue, 2010a). The purpose of this study was to explore African American male students' experiences and coping strategies of racial microaggression in secondary schools in Texas. The study addressed the following research questions: 1) How do African American male students in Grades 6-12 experience racial microaggression in their school environment? 2) What coping strategies do African American male students use to deal with racial microaggression experienced at school? The researcher utilized a qualitative research design with a phenomenological approach. Data was collected from participants through in-depth, semi-structured interviews with students in Grades 6-12. Codification of emergent themes found in the data was conducted using the MAXQDA software program. The results and implications of this study will add to the body of knowledge regarding African American male students’ experiences and coping strategies of racial microaggression in secondary schools. The findings of this study will yield implications for educators at all levels.",OCLC:1141794130,
82,Musings of a Jook-sing,,Diana Mai (Zine author),"In musings of a jook-sing, varied personal entries work with internet resources and critically engaged quotes to address race and its many entanglements. Diana Mai's first personal zine.",OCLC:920694368,
