,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
375,Takedown,Art in the Age of Cancel Culture,Farah Nayeri,"Farah Nayeri addresses the difficult questions plaguing the art world, from the bad habits of Old Masters, to the current grappling with identity politics. For centuries, art censorship has been a top-down phenomenon--kings, popes, and one-party states decided what was considered obscene, blasphemous, or politically deviant in art. Today, censorship can also happen from the bottom-up, thanks to calls to action from organizers and social media ratios. Artists and artworks are routinely taken to task for their insensitivity. In this new world order, artists, critics, philanthropists, galleries and museums alike are recalibrating their efforts to increase the visibility of marginalized voices and respond to the people's demands for better ethics in art. But what should we, the people, do with this newfound power? With exclusive interviews with Nan Goldin, Dana Schutz, Sam Durant, Faith Ringgold, and others, Nayeri tackles wide-ranging issues including sex, religion, gender, ethics, animal rights, and race. By asking and answering questions such as: Who gets to make art and who owns it? How do we correct the inequities of the past? What does authenticity, exploitation, and appropriation mean in art?, Takedown provides the necessary tools to navigate the art world.",1662600550,Takedown Art in the Age of Cancel Culture
377,With(Stan)ding Cancel Culture,Stan Twitter and Reactionary Fandoms,Hailey Roos,"Cancel culture is often regarded as a witch hunt on social media, a way to harass people into silence, an excuse to bully critics - but that was not always the case. This analysis traces the history of cancel culture, its appropriation by stans, and its rebirth as the commonly known petty, polarized behavior on Twitter. Cancel culture began on Black Twitter via callouts directed at public officials or celebrities for being racist, homophobic, sexist, etc. in an attempt to shed light on the abuse of power, to boycott corrupt companies, or to revoke support for problematic authority or celebrity figures. The social justice logic and activism behind cancel culture has been appropriated by Stan Twitter which is an obsessive, overzealous group of pop culture fans. Stans noticed the power that cancel culture had to end careers, twisted the activism into harassment, and restructured cancel culture as an excuse to censor anyone who questions, competes with, or critiques their idols. Today, cancel culture is viewed negatively because of the deeply negative effect of Stan Twitter had on this originally well-intentioned movement. This current version of cancel culture is almost always seen as an obstacle in the way of real progress in social justice activism. These two phenomena - cancel culture and stan Twitter - are the seeds of polarized behavior that have been planted in social media and that implicitly affect the ways that Twitter users respond to and make sense of the world in general.",OCLC:1242938373,With(Stan)ding Cancel Culture Stan Twitter and Reactionary Fandoms
378,Cancel Culture,"How to Thrive in a Society that Has Given Up on Masculinity, Femininity, Sex, Success, Gods, and a Great Life.",Alexander Reich,"You are living in a CANCEL CULTURE Do you feel that you could be much more? Do you feel that you know how to be a man, but society tells you otherwise? Do you feel that the things society teaches you about women just don't work right? Be the nice guy, but they still go for jerks? Do you wonder why people become successful, although everyone tells you it is impossible? Do you feel that this society lost its morality? Do you feel that how people behave in certain situations is just wrong? Congratulations. You found your inner self. Or you know at least that it is there, and something is wrong. And you would be right ✔ This society has canceled a lot of things which made us humans great, and made it possible to live together in peace and decency. Sadly, this isn't the case anymore. In CANCEL CULTURE(TM) I iterate over these things. Everything that is wrong in this society and how you can still be right with yourself and live a prosper life. Things that have been canceled: Masculinity Femininity Meaningful sex Morals Decency Gods Ancient wisdom Conversation Creativity Honor Meaning And much, much more I go over all these topics and show you what's wrong in this society, why, and how to make the best of it. This book will help you see a ton of lies we live every day. And then it helps you to make the proper adjustments to live in peace with the other gender, yourself, success, and the world.",9798646047657,"Cancel Culture How to Thrive in a Society that Has Given Up on Masculinity, Femininity, Sex, Success, Gods, and a Great Life."
379,I Do Not Consent,My Fight Against Medical Cancel Culture,"Simone Gold, M.D., J.D.","“The bumper-sticker directive to ‘follow the science’ was actually an evasion of responsibility. It let people off the hook for their bad decisions in a crisis. Was New York Governor Cuomo’s executive order sending COVID-hospitalized patients back to nursing homes to infect other vulnerable nursing home patients ‘following the science’? Of course not. And sending post-hospitalization COVID-positive patients back to nursing homes was unnecessary. Relative to the total nursing home population, Governor Cuomo contributed to a larger percentage of nursing-home deaths—especially when compared to the states without such a policy. New Jersey’s over seven thousand nursing home deaths account for half of the state’s fatalities since March. Pennsylvania did just as miserably. These governors made specific decisions that cost thousands of the most vulnerable, most expendable, their lives. But they didn’t do it to their own relatives.” —From I Do Not Consent",9781642938913,I Do Not Consent My Fight Against Medical Cancel Culture
381,Unassailable,"Protect Yourself from Deplatform Attacks, Cancel Culture & Other Online Disasters",Mark E Jeftovic,"We live in an age of cancel-culture run rampant, where those who don't agree with your opinions eschew civilized debate and instead opt to mobilize flash-mobs seeking to deplatform you, your content or your business. When even the president of the United States isn't immune from deplatform attacks, it tells us that somebody needed to write a book like ""Unassailable"". In his second book, internet industry veteran and naming expert Mark E. Jeftovic describes an overarching strategy that minimizes your attack surface against online censorship and helps you come back stronger and louder from takedowns. The first part of the book examines the history, philosophy and the ethos behind culture wars, free speech and battles for narrative control. Then in part 2 the reader is stepped through every component of their online infrastructure, from web hosting, to email delivery, to video hosting, to payment gateways in order to make sure you have as much control over your own online destiny as is technologically possible.All content creators need to read this book. Even if you think nothing you say is controversial or would run afoul of allowable opinion, the internet mob can turn on you in an instant. Be ready.",1999285212,"Unassailable Protect Yourself from Deplatform Attacks, Cancel Culture & Other Online Disasters"
383,Cancel Culture,,Lita Sorensen,"""Anthology of diverse perspectives regarding the social phenomenon of cancel culture, public shaming, and mob mentality. Volume introduction, guided reading questions, introductory material, critical thinking questions, resource material and index""--",1534507590,
385,Cancel This Book,The Progressive Case Against Cancel Culture,Dan Kovalik,"Examining a phenomenon that is sweeping the country, Cancel This Book shines the spotlight on the suppression of open and candid debate. The public shaming of individuals for actual or perceived offenses, often against emerging notions of proper racial and gender norms and relations, has become commonplace. In a number of cases, the shaming is accompanied by calls for the offending individuals to lose their jobs, positions, or other status. Frequently, those targeted for “cancellation” simply do not know the latest, ever-changing norms (often related to language) that they are accused of transgressing—or they have honest questions about issues that have been deemed off-limits for debate and discussion. Cancel This Book offers a unique perspective from Dan Kovalik, a progressive author who supports the ongoing movements for racial and gender equality and justice, but who is concerned about the prevalence of “cancelling” people, and especially of people who are well-intentioned and who are themselves allied with these movements. While many progressives believe that “cancelling” others is a form of activism and holding others accountable, Cancel This Book argues that “cancellation” is oftentimes counter-productive and destructive of the very values which the “cancellers” claim to support. And indeed, we now see instances in the workplace where employers are using this spirt of “cancellation” to pit employees against each other, to exert more control over the workforce and to undermine worker and labor solidarity. Kovalik observes that many progressives are quietly opposed to this “Cancel Culture” and to many instances of “cancellation” they witness, but they are afraid to air these concerns publicly lest they themselves be “cancelled.” The result is the suppression of open debate about important issues involving racial and gender matters, and even issues related to how to best confront the current COVID-19 pandemic. While people speak in whispers about their true feelings about such issues, critical debate and discussion is avoided, resentments build, and the movement for justice and equality is ultimately disserved.",9781510764996,Cancel This Book The Progressive Case Against Cancel Culture
387,We Will Not Cancel Us,And Other Dreams of Transformative Justice,adrienne maree brown,"Cancel culture addresses real harm...and sometimes causes more. It’s time to think this through. “Cancel” or “call-out” culture is a source of much tension and debate in American society. The infamous “Harper’s Letter,” signed by public intellectuals of both the left and right, sought to settle the matter and only caused greater division. Originating as a way for marginalized and disempowered people to take down more powerful abusers, often with the help of social media, cancel culture is seen by some as having gone “too far.” Adrienne maree brown, a respected cultural voice and a professional mediator, reframes the discussion for us, in a way that points to possible ways beyond the impasse. Most critiques of cancel culture come from outside the milieus that produce it, sometimes from even from its targets. Brown explores the question from a Black, queer, and feminist viewpoint that gently asks, how well does this practice serve us? Does it prefigure the sort of world we want to live in? And, if it doesn’t, how do we seek accountability and redress for harm in a way that reflects our values?",9781849354233,We Will Not Cancel Us And Other Dreams of Transformative Justice
389,Cancel Culture and the Left's Long March,,Kevin Edited by Donnelly,"Cancel culture and political correctness are destroying free speech and Western civilisation's institutions and way of life - it's time to fight back and return to sanity. A topical and informative anthology exploring the origins and impact of cancel culture and political correctness on Western societies - including schools, universities, ......",1925927563,
392,Christians in a Cancel Culture,Speaking with Truth and Grace in a Hostile World,Joe Dallas,"The WHO, WHAT, and HOW of Responding to Those Who Want to Silence You You’ve based your understanding of today’s sensitive social issues on the Bible’s truth. Mainstream culture not only sees these issues differently but calls you bigoted for rejecting views they’ve deemed self-evident. So how do you witness Christ’s love to those ready to write you off as hateful? Christians in a Cancel Culture breaks down how you can speak wisdom about politically charged and personal subjects with equal parts compassion and conviction. This book will affirm your understanding of the Bible’s views on sin, salvation, racism, gender identity, homosexuality, and abortion while teaching you… why today’s world has grown so hostile to Christians and biblical values where you can find room to minister within challenging conversations how you can sustain relationships with those who feel threatened by God’s truth Walking in faith isn’t about fighting culture wars but witnessing Jesus’s restorative grace to those who haven’t yet found it. Christians in a Cancel Culture will prepare you to stay true to your beliefs as you address today’s controversies while opening doors to deeper discussions about Christ’s redeeming love.",9780736983549,Christians in a Cancel Culture Speaking with Truth and Grace in a Hostile World
394,No. A Personal Cancel Culture Journal,,Keturah Miller,"This journal is designed to help re-train your brain to release you from the obligation to say ""Yes"" to others. Cancel Culture means to ""stop giving support to"" something. Learning to say ""No"" is your personal Cancel Culture. Saying ""No"" means you stop giving support to things that do not deserve your attention and energy - maybe not forever, but definitely right now. Your power to say ""No"" provides you with freedom, time, and ultimately intentional self care. Use this journal to re-discover who you are - and who you want to be - with the power of the simple statement ""No"".",1678069612,
396,Triggered,Kids Guide To Modern Day Cancel Culture,Brad Gosse,With this new year came a new kind of culture. Everyone wants everyone fired. They're vultures. They go online just to get outraged. They find some offense on every web page. The topic of alcohol triggers feelings of bad. Because your family tore apart thanks to your drunk dad. Topics like abuse will trigger so many. Because dad hit mom. He'll serve 5-20. They want protection from all the things that hurt. They'll stalk you offline and you might lose your shirt. Content online sends their rage through the ceiling. Even though nobody is responsible for their feelings. They wish everything to be rainbows and puppies. Just like when they were kids with teddy bear stuffies. You can't censor the internet with your limited power. So blame your parents for raising a delicate flower.,9798686346246,Triggered Kids Guide To Modern Day Cancel Culture
397,God and Cancel Culture,Standing Strong for the Truth,Stephen E. Strang,"FROM THE BEST-SELLING AUTHOR OF GOD AND DONALD TRUMP 64% of Americans believe cancel culture is a threat to their freedom. This book will help you realize the seriousness of the battle before us and illuminate the present circumstance for the purpose of doing good-to bring hope. It will document what is happening in our country, how believers can respond, and why we can look expectantly to the future. This is the time for neither religious fatalism nor political inaction. No matter how bad things get in the culture or in government, the Bible is true and God has plans and purposes we don''t understand-and in the end we win. Things are chaotic in America. Liberal policies are advancing. A rash of executive orders appears to be moving the nation closer to socialism and a one-world government. And conservatives, including many Christians, are being censored as never before. There''s even a term-cancel culture-which 64 percent of Americans believe poses a threat to their freedom, according to a Harvard CAPS-Harris Poll. (Among Republicans, that figure is even higher at 80 percent.) The term applies to all conservatives who oppose the politically correct crowd, but it''s part of a bigger effort to cancel Christianity and those who espouse biblical principles. It almost seems this is the beginning of the end and the Antichrist will appear at any time. You pick the cultural or political issue, and there likely is not even the semblance of widespread agreement. It seems that Christians are in an unprecedented season of fragmentation, potential division, and actual separation on many fronts. Instead of going forward, much of the church seems to be moving backward or standing still, waiting for what''s next. In some ways Christians cancel each other in debates over non-essentials. There is no going backward if we want to remain effective and engaged. Paul wrote that all things work together for those who are ""called according to His purpose"" (Rom. 8:28, MEV). That calling is active, purposeful, and energetic. We can take the initiative and move forward from where we are. The body of Christ is a big, diverse family, and we must choose to cheer one another on rather than get into circular firing squads. We are called to advance on every front. This book will assess and affirm the different approaches playing out. The body needs clarity and unity- and has little of both right now. Wounded armies want hope, focus, and encouragement. This book will not throw anyone overboard who is standing for the truth in some positive way. Rather, it will allow readers to look critically at the various approaches vying for our allegiance and attention here in the middle of 2021. In the course of this survey, we will find reason to affirm where people are fighting on the battlefield and validate the perspectives they bring. Featuring interviews with a cross section of leaders, this book will document what is happening in our country, how believers can respond, and why we can look to the future with hope. Even though things are bad, we must understand that conditions have been this bad or worse in the past and God always came through. He has plans and purposes we don''t understand. Christians must not lose heart. We must stand strong and not be intimidated. We must pray, and we must believe God for a great awakening. No matter how bad things get in the culture or in government, the Bible is true and ""all things work together for good to those who love God"" (Rom. 8:28, MEV). That''s because we are called according to His purpose. A purpose never goes in reverse. This book will reveal what that looks like in its various forms in the day in which we live. It gives a great handle for promoting unity and appreciation of one another when that is breaking down so badly elsewhere. Indeed, maybe the love Jesus spoke about that makes us recognizable to the world will be seen as this book illuminates the supernatural unity among people of very diverse opinions and approaches while pointedly addressing these various hot-button areas.",1636410626,God and Cancel Culture Standing Strong for the Truth
399,Dissenters Project: The Price of Honest Dissent in Cancel Culture,,Essay Collection,"It often seems that contemporary culture is made up of everyone railing against everyone else, it becomes difficult to tell the difference between true dissent that resists genuine oppression, from a form of therapeutic dissent, good for soothing our insecurities and projecting a contrived public persona, so we may feel the warm embrace of our peers and in group.This collection of dissenting voices comes from people who hail from different countries, political persuasions, generations, and walks of life. These dissenters have paid or are paying the price for expressing unpopular ideas that put them in jeopardy, because they don't uphold a prevailing status quo, but go against the grain, contradicting or antagonizing others in their professional, political, or social circle, often triggering backlash, punishment, cruelty, loss, and ostracization. Like other dissenters before them, they have faced their fears to buck and challenge those who to want to shut them up, and in so doing they make the world more interesting and the conversation richer. They help illustrate the real value and meaning of true dissent and its critical role in tempering positions, speaking truth to power, balancing debate, and helping the center to hold.",0578607832,
401,Cancel Cancel Culture,"Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages",Edna TATUM,CANCEL CANCEL CULTURE/h3>,9798560667580,"Cancel Cancel Culture Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages"
402,CANCEL CANCEL CULTURE Premium,"Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages",samanthia smith,CANCEL CANCEL CULTURE Premium/h3>,9798588711326,"CANCEL CANCEL CULTURE Premium Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages"
404,Cancel Cancel Culture Anti Cancel Culture Not Woke : Birthday Notebook Journal and Diary Gift,,Johnathan Jackson,"An awesome unique birthday card / greeting card idea as a present! It is a 114 pages ruled journal ready for you to fill with your own writing and get a little creative every now and then. Each pad measures 6 x 9 inches 114 Lined White Pages of high quality paper (57 sheets) Nice wide ruled lines for easy writing Premium Matte Paperback Cover Perfect for gel pen, ink or pencils Great size to carry everywhere in your bag, for work, high school, college Perfect Birthday Gift Writing Journal to inspire and motivate someone!",9798728308218,
406,I Do Not Consent,My Fight Against Medical Cancel Culture,Simone Gold,"""From treating COVID patients in her local hospital to fighting for the rights of frontline doctors, Dr. Simone Gold tells her story.""--Back cover.",1642938904,I Do Not Consent My Fight Against Medical Cancel Culture
408,Fuck Cancel Culture Premium,"Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages",Brad OLSON,Fuck Cancel Culture Premium/h3>,9798564454353,"Fuck Cancel Culture Premium Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages"
412,Cancel the Culture,Securing Our Identity as Christians,Eric Lambert,"Are you ready to fight back against the cancel culture? Isn’t it about time for Christians to stop playing the victim? Stop whining. Stop playing defense. Stop living like the world, and start being different. Strong. Powerful. Set apart unto the Lord. God has called us to be holy. We are not called to be like the culture. Jesus has commissioned us to reach the culture for Him. But we can’t do that by looking, sounding, and acting just like the culture. While the culture has sought to cancel Christians and Christianity, the truth is that we should have canceled many things about the world’s culture a long time ago. We have to break the strongholds of culture’s influence over us as a holy people. Bishop Eric Lambert is a Senior Pastor, a Presiding Bishop, and host of the Christian television show Climbing Higher. In Cancel the Culture, Bishop Lambert will exhort you with a different challenge for every month of the year: · Be different on social media · Pull away from the spirit of materialism · Rid yourself of the influence of pornographic material · Get free of the deceptive trap of the world’s entertainment · Pursue unity over division · Protect yourself and loved ones from dark forces in online gaming · Avoid the pitfalls of secular education · Overcome the largely ignored sin of gluttony · Understand and pursue true holiness · Stop idolizing Christian leaders · Move past treating church like a social club · Make sure you aren’t substituting religion for a relationship with the One True God We are not going to reach the culture if we are living just like them. We have to be different to make a difference! Are you ready to take the challenge?",,Cancel the Culture Securing Our Identity as Christians
414,Easily Offended Easily Manipulated Anti Cancel Culture,"Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages",Tracy Scott,Easily Offended Easily Manipulated Anti Cancel Culture/h3>,9798743135110,"Easily Offended Easily Manipulated Anti Cancel Culture Notebook Planner - 6x9 Inch Daily Planner Journal, to Do List Notebook, Daily Organizer, 114 Pages"
415,Cancel Culture Book Burning Fuel,Burn this Book and Show Them Who's Boss,G Hud,"This Gag Gift Book series offers you a different way to give gifts to that special someone or to someone that has everything. The interior is useless. Loaded with silly phrases, Stupid quotes, plenty of places to make personal notes, and lots of doodle art pages to show off your artistic abilities. Look for all other titles and embarrassing gift ideas. Birthdays, special occasions, anniversaries, or just buy one and pretend to read it to see all the strange looks you will receive. There are no boundaries here with Gag gift books by Mr. G HudLook for more info at Gregory Hudson Books on Facebook. There, you see the serious side of this author and professional novels available worldwide.",9798716821279,Cancel Culture Book Burning Fuel Burn this Book and Show Them Who's Boss
423,Cancel The Apocalypse,The New Path To Prosperity,Andrew Simms,"Ever get the feeling that things are falling apart? You're not alone. From bad banks to global warming it can all look hopeless, but what if everything could turn out, well, even better than before? What if the only thing holding us back is a lack of imagination and a surplus of old orthodoxies? In fascinating and iconoclastic detail - on everything from the cash in your pocket to the food on your plate and the shape of our working lives - Cancel the Apocalypse describes how the relentless race for economic growth is not always one worth winning, how excessive materialism has come at a terrible cost to our environment, and hasn't even made us any happier in the process. Simms believes passionately in the human capacity for change, and shows how the good life remains in our grasp. While global warming and financial meltdown might feel like modern day horsemen of the apocalypse, Simms shows how such end of the world scenarios offer us the chance for a new beginning.",9780748119547,Cancel The Apocalypse The New Path To Prosperity
426,"Demokratisierung durch ""Cancel Culture"": zum Verhältnis von Kunstfreiheit und Emanzipation",,Karsten Schubert,"Abstract: Cancel Culture ist der Austragungsort gesellschaftspolitischer Auseinandersetzungen um Sexismus, Rassismus und Transphobie. Dabei sind Kunstfreiheit und Meinungsfreiheit zentrale Argumente - oder besser: Waffen - des konservativen politischen Projekts geworden, mit dem emanzipative Änderungen abgewehrt werden. Dieser machtpolitische Missbrauch muss klar von der grundrechtlichen Dimension unterschieden werden. Dafür ist zwischen drei Ebenen Kunstfreiheit zu differenzieren: im nichtstaatlichen, parastaatlichen und staatlichen Bereich. Die Neuregelungen von Diskurs, Kultur und Kunst durch ""Politische Korrektheit"", ""Cancel Culture"" oder ""Identitätspolitik"" bedeuten nicht den Zerfall der Demokratie, sondern sind ein Schritt in Richtung ihrer vollständigeren Realisierung",OCLC:1236107014,
431,The Ethics of Cultural Appropriation,,James O. Young,"Through a combination of empirical research and philosophical analysis in essays by leading experts in the social sciences, this book undertakes a comprehensive and systematic investigation of the moral and aesthetic questions that arise from the practice of cultural appropriation.",9781444350838,
435,Cultural Appropriation and the Arts,,James O. Young,Young offers a systematic philosophical investigation of the moral and aesthetic issues to which cultural appropriation gives rise. Questions considered include: 'Can culture appropriation result in the production of aesthetically successful works of art?' and 'Is cultural appropriation in the arts morally objectionable?'.,9781444332711,
437,Borrowed Power,Essays on Cultural Appropriation,Bruce H. Ziff,"This book was a really informative and insightful collection of essays over cultural appropriation in our society today, mostly focusing on America's appropriation and use of Native American culture specifically more or less. The topics in this book covers a lot of ground from arts, land, and artifacts to ideas, knowledge, and symbols. The book doesn't try and point fingers blaming anyone rather then stating facts of the matter over the gray area of cultural appropriation. Overall a really nice read.",0813523729,Borrowed Power Essays on Cultural Appropriation
439,Adaptation and Cultural Appropriation,"Literature, Film, and the Arts",Pascal Nicklas,"“Hamlet” by Olivier, Kaurismäki or Shepard and “Pride and Prejudice” in its many adaptations show the virulence of these texts and the importance of aesthetic recycling for the formation of cultural identity and diversity. Adaptation has always been a standard literary and cultural strategy, and can be regarded as the dominant means of production in the cultural industries today. Focusing on a variety of aspects such as artistic strategies and genre, but also marketing and cultural politics, this volume takes a critical look at ways of adapting and appropriating cultural texts across epochs and cultures in literature, film and the arts.",9783110272239,"Adaptation and Cultural Appropriation Literature, Film, and the Arts"
441,Questioning Cultural Appropriation,,Jonita Davis,We live in a country where you can have Thai take-out ordered in while you lay warm under your Navajo-style blanket watching Bollywood musicals on Netflix. We are surrounded by other cultures that we also have a duty to protect. This volume is all about defining that responsibility and giving readers the tools to fulfill it. We must all learn to questions this cultural crime before it wipes out and whitewashes all of our differences away.,9781978504455,
443,Everything You Need to Know About Cultural Appropriation,,Lisa A. Crayton,"Cultural appropriation is a form of identity theft. It happens when someone adopts another culture's identifiable, tangible elements without honoring their cultural importance or significance. It includes everything from hairstyles to clothing to jewelry to musical style. Using historical context, current events, teen-friendly examples, and useful sidebars, this resource helps readers grasp the magnitude of the problem, including how they may be participating in appropriation without even knowing it. When teens better understand cultural appropriation, and become actively involved in helping reduce harm, they will be better able to connect meaningfully with other cultures.",9781508179344,
445,Cultural Appropriation,,M. M. Eboch,"A white celebrity boasts dreadlocks in an Instagram post. Fashion models strut down a runway wearing Native American headdresses. A fraternity brother dons blackface as part of his Halloween costume. What do these things have in common? They are acts of cultural appropriation, the oftentimes innocent but nonetheless offensive practice of emulating the culture of a people with less power and privilege. When does appreciation cross the line to become appropriation? The viewpoints in this volume address what constitutes cultural appropriation, how it hurts those it seeks to celebrate, and how to be inspired by a culture without insulting it.",1534505660,
447,"Rome, Empire of Plunder",The Dynamics of Cultural Appropriation,Matthew P. Loar,"Bringing together philologists, historians, and archaeologists, Rome, Empire of Plunder bridges disciplinary divides in pursuit of an interdisciplinary understanding of Roman cultural appropriation - approached not as a set of distinct practices but as a hydra-headed phenomenon through which Rome made and remade itself, as a Republic and as an Empire, on Italian soil and abroad. The studies gathered in this volume range from the literary thefts of the first Latin comic poets to the grand-scale spoliation of Egyptian obelisks by a succession of emperors, and from Hispania to Pergamon to Qasr Ibrim. Applying a range of theoretical perspectives on cultural appropriation, contributors probe the violent interactions and chance contingencies that sent cargo of all sorts into circulation around the Roman Mediterranean, causing recurrent distortions in their individual and aggregate meanings. The result is an innovative and nuanced investigation of Roman cultural appropriation and imperial power.",9781108305914,"Rome, Empire of Plunder The Dynamics of Cultural Appropriation"
449,White Negroes,When Cornrows Were in Vogue and and Other Thoughts on Cultural Appropriation,Lauren Michele Jackson,"In White Negroes, cultural commentator, essayist, and scholar Lauren Michele Jackson explores trends started in Black communities that have caught on and become cool, hugely popular and lucrative, but that exclude Black communities once mainstream audiences and mainstream dollars latch on. The consequences of this phenomenon can be easy to miss, as it is so ingrained in our consumer habits. Yet over and over, Black intellectual property is converted into white profit - one hashtag, hair style, music genre, and dance move at a time. This, Jackson argues, plays a role in keeping Black people from achieving economic, political, and social equity. Weaving together media scholarship and cultural critique, Jackson re-situates cultural appropriation as more than just a new buzzword. It is, she contends, simply another chapter in the long history of whiteness thriving at the expense, stolen labor and ingenuity of Black people. Further, her interrogation and exposure of the interracial antagonism resting on the other side of appropriation unravels behavior that feels normal only because it is common. Piercing, audacious, and bursting with pop-culture touchstones, White Negroes introduces a bold new voice in Jackson. Her debut is both a love letter to the creativity of Black folks and an urgent call for more thoughtful consumption by those who consider themselves ""allies.""",9780807011805,White Negroes When Cornrows Were in Vogue and and Other Thoughts on Cultural Appropriation
451,"Travelling Goods, Travelling Moods",Varieties of Cultural Appropriation (1850-1950),Christian Huck,"Looking at cultural appropriation from around the world, this volume uses the field of cultural studies—heavily influenced by both economics and sociology—as a lens through which to view the paradigm of transcultural consumption. The editors present a variety of consumptive phenomena including: the introduction of Chinese foods to the United States, Ford cars in Germany, and American schoolbooks in the Philippines. Rejecting the idea that these interactions were simply forms of “Americanization,” Travelling Goods, Travelling Moods fills a gap in consumer studies and enriches the debate about cultural transfer.",9783593397627,"Travelling Goods, Travelling Moods Varieties of Cultural Appropriation (1850-1950)"
453,The Ethics of Cultural Appropriation,,James O. Young,"The Ethics of Cultural Appropriation undertakes a comprehensive and systematic investigation of the moral and aesthetic questions that arise from the practice of cultural appropriation. Explores cultural appropriation in a wide variety of contexts, among them the arts and archaeology, museums, and religion Questions whether cultural appropriation is always morally objectionable Includes research that is equally informed by empirical knowledge and general normative theory Provides a coherent and authoritative perspective gained by the collaboration of philosophers and specialists in the field who all participated in this unique research project",1405161590,
455,"Rap Music and Cultural Appropriation in Hari Kunzru's ""White Tears""",,Florian Arleth,"Academic Paper from the year 2018 in the subject Literature - Modern Literature, grade: 1,7, University of Heidelberg (Anglistisches Seminar), course: PS II Race and Racism in Contemporary American Literature, language: English, abstract: This term paper takes a look at how cultural appropriation works in the context of African-American music in general and rap music in particular. Relevant parts of Hari Kunzru's novel ""White Tears"" will be analyzed in order to understand the motivations and intentions that the two white twenty somethings have in their respective approaches to music that was made before they were born and to a subculture they never participated in due to their social backgrounds. The conclusion of this term paper then answers the following question: Was Carter right to reject the white rapper's business proposal? Especially in a society like the United States with its long history of racial and cultural contacts and clashes, the appropriation of items from different cultural backgrounds is a strongly contested issue. The intensity of recent mainstream debates concerning the professional sport franchises of the Cleveland Indians or the Washington Redskins and their respective marketing of Native American culture is proof of that. When cultural appropriation is used as a vehicle of capitalism, it becomes debatable. Hari Kunzru's novel ""White Tears"", published in 2017, deals with exactly these topics when portraying the business ventures of two young white music producers and their shared search for vintage sound in modern day New York City. In an early scene of the book, Seth and Carter, the producer duo, meet with representatives of a major label and their artist, a famous white rapper. Having heard of their vast archives of rare vintage sounds and their classic methods of production, the mainstream artists offers them the opportunity to work on his newest project, a tribute to all African-American music that was recorded prior to his birth in the Nineties. When Carter dismisses the project on the grounds of false cultural appropriation, he leaves his business partner as confused as the reader of the novel, since there is no further explanation offered and the plot continues.",9783668972148,
457,The Polish Wild West,"Forced Migration and Cultural Appropriation in the Polish-German Borderlands, 1945-1948",Beata Halicka,"The incorporation of German territories east of the Oder and Western Neisse rivers into Poland in 1945 was linked with the difficult process of an almost total exchange of population and involved the taking over of a region in which the Second World War had effected an enormous level of destruction. The contemporary term ‘Polish Wild West’ not only alluded to the reigning atmosphere of chaos and ‘survival of the fittest’ in the Polish–German borderland but was also associated with a new kind of freedom and the opportunity to start everything anew. The arrival in this region of Polish settlers from different parts of Poland led to Poles, Germans and Soviet soldiers temporarily coming into contact with one another. Living together in this war-damaged space was far from easy. On the basis of ego-documents, the author recreates the beginnings of the shaping of this new society, one affected by a repressive political system, internal conflicts and human tragedy. In distancing oneself from the until-recently dominant narratives concerning expellees in Germany or pioneers of the ‘Recovered Territories’ in Poland, Beata Halicka tells the story of the disintegration of a previous cultural landscape and the establishment of one which was new, in a colourful and vivid manner and encompassing different points of view.",9781000060058,"The Polish Wild West Forced Migration and Cultural Appropriation in the Polish-German Borderlands, 1945-1948"
459,Going Indian,Cultural Appropriation in Recent North American Literature,Judit Ágnes Kádár,"Durante los años sesenta y setenta aparece cierto interés en el fenómeno de las personas blancas que se comportan como indios o nativos, así como un nuevo entusiasmo por desafiar la tradición Cooperiana de cruzar las líneas del color en narraciones aparentemente no racistas. Este libro analiza cómo el «patio de recreo intelectual» proporciona biografías postcoloniales de «personajes tan escurridizos» como Sir William Johnson, Mary Jemison, May Dodd, y Archie Belaney/Grey Owl, o de otros ficticios como Jack Crabb y Jeremy Sadness. Los textos analizados aquí plantean cuestiones relacionadas con la construcción de la identidad, el parentesco ficticio y el etnicidad simbólica, las motivaciones y los impulsos que subyacen al comportamiento/juego de ser «otro», así como los procesos e implicaciones de la transculturación y de la epistemología de las relaciones de raza.",9788437089768,Going Indian Cultural Appropriation in Recent North American Literature
